Hours,Shape
23,changing
00,triangle
01,circle
02,other
10,circle
14,oval
15,disk
19,light
20,flash
20,fireball
21,fireball
21,circle
21,circle
23,triangle
10,circle
18,sphere
19,oval
19,light
19,circle
20,light
20,changing
20,disk
20,fireball
20,light
20,other
20,sphere
20,light
21,changing
21,cigar
21,light
23,cylinder
23,rectangle
02,chevron
17,light
17,light
19,light
19,light
19,light
19,circle
20,circle
20,light
20,light
20,circle
20,sphere
20,triangle
21,triangle
21,light
16,egg
23,circle
21,light
23,fireball
21,sphere
21,sphere
10,sphere
02,triangle
04,chevron
22,light
02,other
14,cigar
14,light
20,sphere
22,sphere
22,fireball
00,light
04,light
07,oval
09,light
18,disk
20,oval
20,oval
20,oval
20,oval
20,other
21,cigar
21,triangle
21,light
21,light
21,light
22,disk
20,light
22,light
23,light
01,light
02,other
05,light
08,teardrop
20,triangle
23,teardrop
06,fireball
13,sphere
16,cylinder
20,fireball
00,circle
01,egg
03,sphere
11,circle
19,light
20,unknown
20,disk
22,chevron
01,triangle
02,rectangle
03,light
04,other
05,light
11,formation
14,circle
18,rectangle
22,fireball
23,formation
23,light
00,light
03,circle
16,light
18,light
19,formation
19,light
19,triangle
19,light
21,oval
21,light
01,disk
11,unknown
19,fireball
19,light
20,diamond
21,light
21,circle
22,light
23,triangle
24,oval
04,oval
10,cylinder
16,circle
19,triangle
20,light
20,disk
04,disk
06,light
13,sphere
19,circle
19,sphere
19,light
19,triangle
20,light
22,fireball
22,triangle
02,other
04,light
04,flash
09,triangle
12,egg
18,disk
18,oval
19,circle
19,flash
21,light
00,other
04,oval
06,sphere
12,changing
19,light
20,circle
20,triangle
21,other
03,chevron
08,other
15,light
19,light
19,circle
21,circle
23,unknown
01,unknown
02,sphere
04,light
08,cigar
19,light
19,fireball
19,circle
20,diamond
20,fireball
20,triangle
21,diamond
21,sphere
22,circle
01,chevron
03,cylinder
06,circle
09,light
16,circle
16,fireball
19,unknown
19,light
20,circle
20,fireball
20,light
20,fireball
20,fireball
20,fireball
20,light
21,sphere
21,chevron
22,light
22,sphere
22,sphere
22,formation
22,light
23,fireball
23,fireball
11,disk
12,disk
19,circle
19,rectangle
16,unknown
21,disk
19,unknown
03,sphere
03,disk
19,disk
22,triangle
06,other
14,sphere
21,disk
19,diamond
20,light
22,light
22,unknown
23,disk
02,sphere
13,circle
20,disk
00,cigar
20,circle
16,oval
01,sphere
16,disk
17,other
19,other
21,disk
22,disk
01,unknown
04,unknown
20,disk
23,rectangle
01,sphere
15,disk
20,light
21,cylinder
21,disk
21,oval
22,disk
01,unknown
18,sphere
20,unknown
21,light
22,changing
07,disk
19,disk
21,disk
19,other
22,other
00,cone
20,disk
23,cylinder
16,disk
19,rectangle
21,light
21,disk
21,disk
23,light
01,other
20,fireball
21,formation
22,cigar
20,oval
22,fireball
20,unknown
21,disk
01,light
20,light
21,triangle
00,triangle
05,light
05,sphere
21,triangle
22,sphere
01,circle
22,light
19,sphere
20,oval
21,fireball
23,triangle
16,disk
18,oval
20,circle
20,oval
21,rectangle
21,disk
17,oval
20,light
22,light
14,other
17,circle
18,cigar
18,triangle
20,disk
21,cigar
22,other
17,triangle
18,egg
19,unknown
02,triangle
20,light
20,light
11,triangle
13,disk
20,changing
20,triangle
21,cigar
23,circle
23,disk
17,disk
18,rectangle
22,other
22,triangle
23,triangle
01,formation
05,triangle
08,oval
17,sphere
18,sphere
22,fireball
00,triangle
01,rectangle
03,other
09,cigar
19,light
19,triangle
21,triangle
21,triangle
21,light
21,other
22,triangle
23,light
00,triangle
00,light
01,fireball
02,disk
04,fireball
05,light
10,sphere
13,disk
16,fireball
18,fireball
18,oval
21,triangle
21,triangle
23,other
00,fireball
01,light
04,light
04,triangle
17,unknown
18,cigar
19,light
20,unknown
22,chevron
01,formation
01,disk
09,cigar
14,light
18,sphere
19,cigar
20,unknown
20,unknown
20,triangle
21,other
21,light
21,light
22,triangle
23,diamond
19,light
20,triangle
20,oval
21,changing
22,light
22,flash
00,circle
03,oval
05,other
05,fireball
05,sphere
05,circle
05,triangle
05,unknown
05,teardrop
05,other
05,unknown
05,fireball
05,light
06,light
07,cigar
09,cigar
14,other
15,teardrop
16,fireball
17,fireball
18,other
19,egg
19,light
20,other
22,unknown
22,unknown
23,changing
00,circle
00,light
02,unknown
05,other
16,unknown
20,unknown
21,light
21,sphere
21,other
22,circle
22,other
23,light
16,unknown
17,cylinder
20,oval
20,triangle
20,unknown
23,sphere
23,circle
00,light
00,circle
00,light
00,diamond
00,circle
00,light
00,light
01,light
01,changing
01,light
01,circle
01,circle
01,formation
01,triangle
01,triangle
01,light
01,light
01,light
01,light
01,other
01,changing
01,triangle
01,cylinder
01,light
01,unknown
03,light
06,circle
08,light
09,disk
12,sphere
15,oval
17,formation
18,teardrop
19,triangle
20,light
20,chevron
20,light
20,unknown
21,unknown
21,light
22,unknown
23,light
01,oval
01,oval
01,circle
02,other
12,rectangle
14,circle
14,oval
15,cigar
17,unknown
17,chevron
19,oval
19,fireball
20,fireball
20,fireball
20,circle
20,teardrop
21,unknown
21,light
21,sphere
22,fireball
22,fireball
23,changing
23,light
23,cylinder
23,oval
23,light
23,circle
23,unknown
23,fireball
23,light
23,sphere
23,light
23,formation
23,circle
23,sphere
23,fireball
23,formation
23,formation
23,formation
23,light
23,other
23,light
23,light
23,circle
00,diamond
00,flash
00,oval
01,circle
09,light
13,oval
17,sphere
19,triangle
20,light
20,disk
20,light
21,unknown
21,other
21,triangle
22,flash
00,triangle
01,cylinder
01,disk
05,cylinder
06,light
09,light
09,oval
11,cigar
19,circle
19,egg
19,disk
20,light
20,unknown
20,circle
20,other
20,circle
20,light
20,light
20,light
21,light
21,unknown
22,triangle
22,sphere
22,other
22,triangle
04,disk
08,cylinder
09,triangle
15,light
18,oval
20,disk
20,light
22,triangle
23,circle
23,light
00,other
06,light
08,other
09,circle
12,disk
16,other
18,cigar
19,light
20,triangle
21,oval
21,changing
23,unknown
23,light
00,other
06,triangle
09,unknown
13,circle
16,oval
20,unknown
20,triangle
20,sphere
20,light
21,light
21,fireball
21,fireball
21,fireball
21,light
22,rectangle
23,light
23,formation
01,unknown
01,light
02,light
06,formation
11,fireball
17,light
19,fireball
20,light
20,fireball
20,other
20,unknown
20,light
22,triangle
23,fireball
24,triangle
03,triangle
06,flash
07,circle
09,triangle
12,unknown
12,unknown
18,light
19,unknown
19,sphere
19,light
20,light
21,fireball
21,circle
22,unknown
22,triangle
22,fireball
23,unknown
12,circle
13,disk
22,chevron
19,disk
23,disk
21,triangle
23,circle
00,rectangle
05,light
05,light
23,disk
11,other
15,chevron
21,disk
20,triangle
18,sphere
21,disk
22,light
23,other
04,egg
07,light
19,fireball
19,light
01,triangle
05,fireball
09,oval
12,fireball
17,cigar
20,triangle
21,triangle
22,fireball
22,other
23,formation
08,other
15,disk
17,disk
18,cigar
18,oval
19,unknown
19,fireball
21,light
01,circle
05,disk
15,disk
18,formation
23,other
11,disk
11,circle
14,unknown
15,light
18,formation
19,disk
19,light
20,triangle
20,light
20,triangle
23,triangle
02,unknown
02,circle
13,fireball
18,other
18,other
18,other
21,circle
22,sphere
00,sphere
00,formation
00,other
07,light
12,light
14,sphere
20,light
20,light
21,fireball
22,triangle
00,fireball
01,oval
02,formation
04,light
17,light
20,light
20,sphere
20,triangle
21,changing
22,unknown
01,sphere
17,formation
17,sphere
18,unknown
20,light
22,triangle
00,triangle
01,formation
05,light
08,formation
14,sphere
19,unknown
21,circle
22,circle
22,oval
23,unknown
23,triangle
05,light
08,cigar
09,diamond
09,disk
12,other
15,circle
19,light
20,light
21,changing
23,light
23,changing
23,circle
07,unknown
11,formation
20,light
20,unknown
00,triangle
06,cigar
06,light
10,other
10,other
12,oval
16,circle
19,sphere
19,cigar
19,chevron
20,rectangle
20,disk
21,chevron
22,circle
22,light
22,light
17,changing
19,circle
20,light
20,disk
20,unknown
21,triangle
21,light
00,fireball
04,unknown
06,rectangle
08,circle
14,sphere
15,circle
17,cylinder
17,light
18,oval
18,other
19,light
19,chevron
19,cylinder
19,changing
19,light
19,chevron
20,light
20,circle
20,sphere
20,fireball
20,light
21,fireball
21,triangle
21,unknown
22,circle
22,light
23,circle
03,unknown
04,light
07,triangle
07,fireball
13,disk
14,other
15,formation
18,triangle
19,changing
20,other
20,formation
20,light
20,triangle
20,light
20,sphere
20,formation
20,triangle
21,light
21,fireball
21,unknown
21,light
21,fireball
21,formation
21,unknown
22,formation
22,light
22,sphere
22,diamond
22,circle
22,other
23,circle
23,fireball
24,fireball
24,sphere
07,disk
21,formation
22,formation
21,disk
18,oval
16,sphere
19,cylinder
06,light
03,triangle
06,circle
15,circle
19,diamond
20,triangle
20,other
22,light
09,disk
17,triangle
18,other
19,light
22,circle
01,circle
06,fireball
08,fireball
18,other
18,cylinder
18,triangle
19,cylinder
19,fireball
19,unknown
19,light
19,fireball
19,fireball
20,light
20,chevron
21,fireball
22,light
00,triangle
19,triangle
19,light
22,triangle
01,light
04,triangle
18,fireball
19,cylinder
19,disk
19,light
21,changing
23,triangle
01,cigar
01,light
06,triangle
07,fireball
11,oval
18,disk
19,sphere
20,sphere
20,light
21,light
21,chevron
21,other
21,other
22,triangle
23,disk
23,light
23,rectangle
00,cigar
01,light
06,unknown
17,oval
19,disk
20,light
21,light
23,circle
23,chevron
23,rectangle
24,triangle
02,circle
04,light
05,chevron
15,disk
17,cylinder
17,cylinder
18,light
20,other
20,changing
20,light
21,chevron
21,rectangle
23,other
02,cylinder
05,light
10,disk
13,unknown
17,light
19,oval
20,triangle
20,triangle
21,light
22,triangle
01,unknown
01,triangle
07,triangle
08,changing
11,sphere
15,light
17,cigar
18,cigar
20,light
22,cylinder
23,unknown
24,sphere
05,light
06,light
09,other
10,circle
14,unknown
02,disk
06,light
07,light
20,light
20,light
22,sphere
23,triangle
01,flash
03,cross
04,light
14,circle
16,cylinder
17,sphere
17,cross
18,chevron
18,chevron
20,unknown
20,flash
20,circle
20,other
20,other
20,chevron
20,triangle
21,light
21,light
21,sphere
22,unknown
22,cylinder
22,flash
22,changing
01,oval
03,light
15,unknown
19,triangle
19,triangle
20,formation
20,unknown
20,fireball
20,diamond
21,light
22,circle
23,sphere
01,light
01,fireball
02,other
05,other
06,circle
10,triangle
14,other
15,sphere
19,oval
19,rectangle
19,triangle
20,light
20,oval
20,oval
20,oval
20,circle
20,light
20,oval
21,cylinder
21,fireball
21,oval
21,triangle
21,fireball
22,circle
22,unknown
23,light
23,circle
24,light
00,sphere
02,unknown
04,fireball
05,circle
18,formation
18,light
19,fireball
19,light
19,circle
19,fireball
19,circle
19,diamond
19,flash
19,light
20,unknown
20,sphere
20,unknown
20,circle
20,unknown
20,light
21,triangle
21,light
21,light
22,light
22,changing
22,sphere
23,sphere
23,circle
16,diamond
07,disk
20,light
21,oval
04,changing
19,sphere
20,circle
20,triangle
03,circle
16,unknown
06,sphere
19,other
19,fireball
22,oval
08,light
14,light
16,light
20,triangle
20,light
20,circle
22,light
22,triangle
01,unknown
02,unknown
14,cigar
16,circle
18,unknown
18,rectangle
22,unknown
03,other
06,diamond
17,other
20,chevron
21,light
22,light
01,triangle
02,triangle
07,light
16,disk
18,other
18,light
19,circle
19,light
19,unknown
19,circle
19,light
19,fireball
19,fireball
19,fireball
19,fireball
19,fireball
19,fireball
19,chevron
19,light
19,changing
19,fireball
19,light
19,disk
19,sphere
19,other
20,unknown
20,circle
20,cone
22,circle
22,light
11,oval
13,cylinder
19,triangle
19,light
21,triangle
21,formation
23,oval
23,oval
23,unknown
02,light
14,changing
19,light
01,sphere
06,sphere
09,other
13,circle
14,sphere
18,light
19,egg
21,light
21,light
21,unknown
21,triangle
01,fireball
02,fireball
02,formation
02,fireball
02,teardrop
18,circle
20,fireball
21,light
22,light
23,changing
00,unknown
15,light
16,light
16,circle
20,oval
21,changing
21,other
21,triangle
00,other
01,sphere
01,formation
10,formation
16,egg
17,sphere
17,light
20,formation
20,chevron
22,disk
22,circle
01,other
02,circle
09,changing
19,formation
19,cross
20,light
21,oval
22,fireball
06,light
06,formation
18,cylinder
19,light
19,triangle
21,light
22,other
00,light
00,unknown
01,triangle
02,other
02,other
05,triangle
05,triangle
09,triangle
10,triangle
10,other
13,sphere
17,other
17,cylinder
18,circle
18,flash
19,unknown
19,oval
19,oval
20,changing
20,light
21,other
22,sphere
22,triangle
24,light
02,diamond
07,circle
12,egg
13,formation
15,cylinder
16,light
19,triangle
20,fireball
21,circle
21,unknown
21,unknown
21,unknown
21,light
21,circle
22,changing
22,changing
23,light
23,triangle
00,circle
01,flash
11,cylinder
16,rectangle
16,sphere
16,sphere
16,sphere
18,cigar
19,light
19,light
19,light
19,sphere
19,light
20,disk
20,circle
20,circle
20,triangle
23,circle
17,cigar
11,rectangle
20,cigar
21,circle
24,cylinder
14,disk
16,other
21,circle
20,light
20,light
22,fireball
00,other
18,oval
22,other
00,cigar
15,sphere
21,oval
02,circle
18,disk
19,disk
20,oval
20,triangle
18,oval
21,disk
21,fireball
23,light
02,triangle
07,cigar
20,light
00,oval
06,cigar
18,circle
19,disk
19,changing
21,cigar
23,disk
10,unknown
18,disk
20,circle
20,disk
24,formation
08,oval
12,circle
16,disk
17,light
18,disk
19,circle
20,disk
18,cigar
18,oval
22,light
23,other
02,disk
03,disk
06,changing
16,sphere
16,disk
16,light
18,disk
18,disk
19,disk
19,other
22,circle
23,triangle
17,disk
19,unknown
21,light
23,unknown
21,triangle
22,disk
23,light
02,disk
19,oval
20,light
22,oval
24,circle
16,unknown
19,unknown
21,circle
02,fireball
03,triangle
19,disk
19,rectangle
20,sphere
23,oval
24,sphere
07,triangle
16,cigar
16,disk
14,disk
19,unknown
19,circle
20,rectangle
20,disk
20,chevron
21,disk
24,disk
08,other
09,unknown
19,disk
19,disk
21,circle
22,circle
23,egg
00,disk
07,diamond
19,other
20,triangle
22,disk
02,cylinder
02,cigar
14,circle
18,disk
19,disk
19,disk
19,disk
22,fireball
02,triangle
16,disk
20,triangle
21,circle
21,other
21,rectangle
22,triangle
22,light
00,circle
01,triangle
02,circle
13,circle
20,cigar
20,unknown
20,chevron
21,circle
22,other
05,cigar
10,triangle
19,disk
20,sphere
20,triangle
22,unknown
23,oval
00,formation
03,fireball
17,light
20,light
21,cigar
21,sphere
23,other
03,disk
06,light
10,light
18,cigar
22,light
00,sphere
15,oval
18,rectangle
18,light
20,sphere
21,disk
13,oval
14,disk
18,light
19,sphere
19,fireball
21,disk
22,light
23,other
23,disk
01,light
01,diamond
15,cigar
15,sphere
17,unknown
20,light
22,unknown
23,fireball
00,light
03,triangle
03,unknown
18,other
23,triangle
01,light
02,unknown
03,light
03,other
07,oval
10,light
15,cylinder
17,rectangle
18,light
19,triangle
19,triangle
20,sphere
20,triangle
20,unknown
20,circle
21,light
22,chevron
22,flash
22,unknown
24,sphere
01,flash
01,egg
06,fireball
14,cylinder
15,changing
16,sphere
18,disk
18,other
19,light
21,triangle
21,unknown
21,light
22,light
22,diamond
22,triangle
23,disk
02,fireball
02,triangle
03,light
03,light
04,triangle
05,oval
06,light
08,light
12,disk
14,diamond
18,circle
18,sphere
19,other
19,light
19,triangle
20,other
20,chevron
20,light
20,oval
20,chevron
21,sphere
23,triangle
23,triangle
23,triangle
23,unknown
01,circle
01,fireball
04,egg
04,light
04,oval
12,egg
17,diamond
19,disk
20,egg
20,circle
20,triangle
21,cigar
21,triangle
22,oval
23,other
03,light
06,triangle
09,formation
10,sphere
10,circle
12,disk
13,sphere
14,triangle
15,other
15,changing
17,triangle
17,sphere
17,formation
19,triangle
20,circle
20,circle
20,circle
20,cylinder
20,circle
20,fireball
20,fireball
21,fireball
21,fireball
22,fireball
22,light
22,unknown
23,light
23,unknown
01,triangle
03,sphere
03,other
04,fireball
07,rectangle
13,cigar
18,unknown
19,sphere
20,chevron
20,chevron
20,light
21,light
22,light
22,triangle
24,triangle
03,light
04,oval
06,triangle
10,changing
11,disk
11,circle
13,disk
15,disk
17,cigar
17,circle
17,unknown
18,unknown
18,cigar
19,disk
19,light
20,changing
20,disk
20,light
20,circle
20,diamond
21,circle
22,fireball
23,cigar
23,light
23,light
23,light
00,unknown
01,light
01,cone
02,triangle
02,light
04,triangle
05,cigar
05,flash
06,other
06,unknown
08,flash
14,changing
18,other
19,rectangle
20,formation
21,chevron
21,light
22,light
23,disk
23,sphere
23,circle
23,light
01,formation
01,formation
03,light
04,triangle
04,circle
08,oval
10,light
10,sphere
11,flash
13,cigar
16,unknown
16,egg
19,formation
20,changing
20,other
21,other
22,light
22,sphere
22,cylinder
22,light
22,sphere
23,light
23,other
23,sphere
23,light
23,disk
24,oval
00,fireball
00,circle
08,circle
15,circle
18,teardrop
18,oval
19,light
19,circle
20,oval
21,light
23,triangle
02,fireball
03,sphere
10,unknown
13,sphere
15,circle
16,sphere
18,teardrop
18,disk
19,light
20,fireball
21,light
21,light
21,formation
22,other
00,triangle
05,light
07,diamond
12,disk
15,disk
16,other
16,other
16,other
18,oval
18,teardrop
19,formation
19,triangle
19,triangle
20,unknown
20,unknown
21,chevron
21,unknown
14,other
14,changing
18,other
18,teardrop
20,light
20,triangle
22,light
22,cylinder
22,light
22,flash
23,flash
02,light
03,circle
03,sphere
05,sphere
16,cigar
16,other
17,disk
19,light
20,light
20,unknown
20,teardrop
21,unknown
21,fireball
22,light
02,circle
08,sphere
09,light
16,disk
17,circle
18,light
19,light
19,circle
19,circle
19,oval
20,rectangle
20,triangle
20,chevron
20,triangle
20,changing
21,other
21,light
21,light
21,light
22,light
23,fireball
00,circle
00,changing
01,light
02,unknown
08,circle
10,rectangle
16,unknown
17,cigar
18,cylinder
18,formation
19,disk
19,other
21,light
22,formation
06,other
09,triangle
14,unknown
15,disk
16,fireball
16,light
17,disk
19,changing
19,unknown
20,chevron
20,other
20,light
20,sphere
21,disk
22,flash
22,light
23,other
23,triangle
22,sphere
15,cylinder
18,disk
00,triangle
09,oval
08,sphere
23,disk
01,sphere
05,fireball
19,light
11,triangle
20,other
20,unknown
21,light
21,sphere
00,sphere
18,other
19,disk
21,triangle
22,light
22,triangle
22,oval
22,sphere
12,fireball
18,light
23,triangle
23,disk
20,unknown
20,triangle
20,triangle
22,chevron
22,changing
07,cigar
19,oval
19,flash
19,formation
20,unknown
20,triangle
20,light
21,light
22,light
22,egg
23,other
02,light
08,light
13,other
17,unknown
18,light
18,light
18,unknown
20,unknown
22,changing
03,unknown
03,light
09,unknown
18,changing
19,flash
23,fireball
23,unknown
02,light
02,oval
06,light
08,circle
10,circle
10,unknown
17,cylinder
18,triangle
19,triangle
19,oval
21,light
21,formation
24,oval
00,circle
04,light
18,light
19,other
21,oval
21,flash
21,cone
23,circle
06,light
14,sphere
15,light
19,disk
19,triangle
21,light
00,other
00,light
17,chevron
19,oval
20,light
20,fireball
21,unknown
23,fireball
00,triangle
01,light
03,unknown
05,light
07,unknown
13,triangle
15,light
20,light
20,circle
21,triangle
22,triangle
00,light
01,other
01,other
15,sphere
16,sphere
18,sphere
18,sphere
18,sphere
21,changing
22,unknown
22,light
22,formation
22,circle
06,cylinder
08,oval
11,disk
18,sphere
19,diamond
19,unknown
19,circle
20,circle
20,oval
21,unknown
21,light
21,chevron
22,circle
22,unknown
22,oval
01,teardrop
02,triangle
03,light
05,flash
10,cylinder
11,cylinder
11,cylinder
12,cylinder
14,sphere
15,cylinder
15,triangle
16,cylinder
18,circle
19,light
20,light
20,other
20,sphere
20,triangle
21,fireball
22,rectangle
22,light
22,light
00,light
08,formation
18,cigar
19,formation
19,light
19,unknown
20,circle
20,circle
20,cylinder
21,other
21,circle
22,egg
22,other
22,formation
19,disk
19,disk
23,circle
23,light
19,circle
18,other
23,triangle
21,triangle
22,flash
01,triangle
18,disk
10,light
21,triangle
01,fireball
03,other
20,triangle
02,light
03,light
11,other
15,sphere
16,fireball
19,other
03,cigar
04,fireball
07,teardrop
14,cigar
15,chevron
15,changing
19,other
19,light
19,diamond
20,light
21,diamond
00,fireball
15,sphere
17,formation
20,circle
21,light
22,triangle
01,light
05,light
19,unknown
23,circle
02,unknown
02,other
06,light
17,oval
17,unknown
19,circle
19,triangle
20,light
20,triangle
21,circle
22,unknown
22,other
23,circle
23,triangle
03,unknown
08,changing
18,formation
18,light
19,circle
20,formation
21,light
23,formation
06,light
15,cross
15,diamond
16,other
18,changing
18,circle
18,light
20,oval
21,disk
22,egg
23,light
23,light
19,light
20,sphere
21,chevron
21,light
22,light
22,fireball
22,other
15,circle
20,cross
22,triangle
22,light
23,triangle
09,unknown
09,circle
10,sphere
17,disk
18,sphere
19,unknown
21,changing
21,other
21,light
21,light
23,light
23,oval
23,light
01,other
01,formation
06,triangle
08,light
12,light
14,cigar
18,sphere
19,light
19,circle
19,light
20,chevron
21,sphere
21,fireball
21,triangle
21,triangle
22,light
22,light
01,unknown
02,disk
04,light
04,light
18,light
20,fireball
07,circle
16,sphere
18,light
19,light
19,light
19,light
19,light
19,changing
19,disk
20,oval
20,formation
20,oval
21,triangle
21,triangle
21,triangle
21,light
21,light
23,unknown
01,circle
01,other
02,changing
03,light
07,disk
14,disk
17,oval
19,light
19,sphere
19,flash
19,unknown
20,light
20,circle
20,circle
21,unknown
23,cigar
01,other
06,circle
07,other
08,unknown
19,disk
20,light
20,light
20,circle
20,fireball
21,light
21,circle
21,light
22,light
23,oval
24,changing
20,oval
01,circle
23,oval
16,disk
22,light
13,oval
21,disk
21,diamond
01,disk
03,chevron
23,unknown
15,unknown
00,sphere
04,sphere
09,light
18,light
23,fireball
01,chevron
04,unknown
04,light
20,circle
23,other
20,other
20,fireball
20,circle
20,unknown
22,light
00,light
01,light
07,light
18,other
22,sphere
22,rectangle
05,disk
21,unknown
01,unknown
01,other
03,light
11,sphere
12,changing
12,changing
13,disk
14,rectangle
15,circle
15,cigar
16,sphere
17,circle
17,disk
17,circle
18,light
20,unknown
20,unknown
20,circle
21,unknown
21,light
21,sphere
21,light
21,chevron
21,fireball
21,fireball
21,sphere
21,fireball
23,circle
23,light
00,light
08,egg
08,formation
16,light
17,triangle
18,other
19,fireball
20,circle
22,light
01,other
01,formation
06,circle
18,light
19,changing
19,sphere
20,cylinder
23,other
00,other
17,cigar
19,light
19,teardrop
21,light
21,light
22,triangle
23,triangle
15,circle
21,other
21,light
23,light
01,sphere
03,light
13,oval
17,unknown
19,flash
20,light
20,light
20,changing
23,diamond
23,formation
00,unknown
04,unknown
20,light
02,triangle
04,triangle
05,light
06,unknown
16,changing
20,triangle
00,disk
00,formation
01,other
03,cylinder
03,sphere
05,light
06,light
15,oval
19,disk
20,oval
20,other
20,formation
20,triangle
21,triangle
22,disk
23,fireball
01,circle
07,sphere
09,oval
16,rectangle
19,oval
19,triangle
20,triangle
20,sphere
21,oval
21,light
22,light
22,oval
23,diamond
23,oval
00,fireball
01,circle
08,fireball
17,light
19,cylinder
19,light
19,light
19,light
19,unknown
20,circle
20,formation
20,fireball
20,triangle
21,fireball
21,sphere
21,fireball
21,other
21,light
21,fireball
22,fireball
22,fireball
22,circle
23,formation
01,triangle
14,disk
07,sphere
01,other
02,light
02,other
00,unknown
01,sphere
04,disk
12,light
16,disk
18,fireball
21,triangle
21,sphere
21,circle
22,triangle
03,triangle
05,light
07,other
17,unknown
19,light
20,light
22,other
22,sphere
23,triangle
00,circle
07,sphere
20,light
20,unknown
19,fireball
20,triangle
20,triangle
22,unknown
22,light
00,triangle
01,disk
08,unknown
17,egg
02,changing
05,triangle
12,sphere
15,oval
16,oval
16,light
17,unknown
17,other
21,other
23,triangle
23,light
02,fireball
07,light
18,triangle
21,circle
21,light
22,triangle
22,triangle
06,other
07,other
12,chevron
18,triangle
19,unknown
22,unknown
02,circle
15,sphere
16,light
18,oval
19,teardrop
19,fireball
19,fireball
19,fireball
19,unknown
19,light
20,fireball
22,light
22,chevron
01,triangle
02,other
03,rectangle
06,cylinder
09,other
11,cigar
11,circle
12,sphere
14,circle
17,disk
18,unknown
18,unknown
19,oval
19,unknown
21,unknown
22,sphere
23,light
00,circle
01,light
01,diamond
06,oval
18,other
19,sphere
20,light
21,light
13,sphere
18,light
19,light
19,light
20,light
20,light
20,circle
21,light
21,unknown
23,light
01,formation
02,flash
06,fireball
06,changing
18,disk
19,light
20,other
21,sphere
22,light
22,cigar
22,other
23,formation
02,circle
05,circle
09,oval
18,other
19,other
19,light
19,fireball
19,oval
20,fireball
20,triangle
22,fireball
23,circle
23,light
23,unknown
23,circle
23,oval
00,oval
00,circle
00,unknown
07,oval
10,other
11,light
11,oval
13,disk
13,circle
18,disk
18,light
19,light
19,fireball
20,light
20,light
20,unknown
20,fireball
20,circle
20,fireball
20,other
20,light
21,sphere
21,other
21,sphere
21,light
21,triangle
21,triangle
21,sphere
21,sphere
22,triangle
22,sphere
22,sphere
22,sphere
22,flash
22,light
23,light
23,fireball
21,other
12,circle
21,circle
02,diamond
18,disk
01,disk
20,oval
23,fireball
07,fireball
19,circle
21,light
22,other
00,circle
22,sphere
18,disk
19,triangle
21,other
05,light
05,oval
19,oval
21,changing
00,circle
03,other
18,changing
24,cylinder
18,oval
22,other
07,disk
20,triangle
22,light
23,circle
22,oval
22,fireball
22,light
11,sphere
20,diamond
08,light
20,diamond
00,unknown
02,formation
11,changing
17,sphere
18,oval
20,chevron
22,triangle
01,sphere
07,light
08,other
08,other
19,cylinder
22,unknown
22,fireball
22,circle
22,sphere
22,fireball
22,fireball
22,circle
22,light
23,other
01,triangle
03,light
07,unknown
20,disk
20,triangle
20,disk
21,light
23,changing
13,triangle
15,circle
23,diamond
16,cigar
18,sphere
19,chevron
19,light
21,circle
23,light
24,cigar
09,fireball
13,teardrop
16,circle
16,disk
20,sphere
20,fireball
20,fireball
20,circle
20,rectangle
20,fireball
20,sphere
20,fireball
20,fireball
